date,ETH en EUR,12 days EMA,26 days EMA,MACD,Signal
02/06/16,12,"11,1255417323","10,3600178014","0,765523931","0,7799700963"
03/06/16,12,"11,2600737735","10,4814979642","0,7785758093","0,7517732381"
04/06/16,12,"11,3739085776","10,5939795965","0,7799289811","0,7299780306"
05/06/16,12,"11,4702303349","10,698129256","0,7721010788","0,7223103041"
06/06/16,12,"11,5517333603","10,7945641259","0,7571692343","0,7257984986"
07/06/16,12,"11,6206974587","10,8838556722","0,7368417865","0,7379873353"
08/06/16,12,"11,6790516958","10,9665330298","0,712518666","0,747990446"
09/06/16,12,"11,728428358","11,0430861387","0,6853422193","0,7473035334"
10/06/16,12,"11,7702086106","11,1139686469","0,6562399637","0,7382490744"
11/06/16,12,"11,8055611321","11,179600599","0,625960533","0,7227420302"
12/06/16,13,"11,9893209579","11,3144449991","0,6748759588","0,7112198246"
13/06/16,15,"12,452502349","11,5874490732","0,8650532758","0,7206780796"
14/06/16,16,"12,9982712184","11,9143046974","1,0839665209","0,7553297954"
15/06/16,16,"13,4600756463","12,2169487939","1,2431268524","0,8093250863"
16/06/16,18,"14,1585255469","12,6453229573","1,5132025895","0,8955873977"
17/06/16,13,"13,9802908474","12,6715953309","1,3086955165","0,96182927"
18/06/16,10,"13,3679384093","12,4736993804","0,8942390289","0,9850400266"
19/06/16,10,"12,8497940386","12,2904623893","0,5593316494","0,9742724361"
20/06/16,10,"12,4113641865","12,1207985086","0,2905656779","0,9370063411"
21/06/16,11,"12,1942312348","12,0377763969","0,1564548379","0,8794039944"
22/06/16,11,"12,0105033525","11,9609040712","0,0495992813","0,788797995"
23/06/16,12,"12,0088874521","11,9638000659","0,0450873862","0,67336698"
24/06/16,13,"12,1613663056","12,0405556166","0,1208106891","0,5486651841"
25/06/16,13,"12,290386874","12,1116255709","0,1787613031","0,40039393"
26/06/16,12,"12,2457119703","12,1033570101","0,1423549602","0,2708005349"
27/06/16,12,"12,2079101287","12,0957009353","0,1122091935","0,183908331"
28/06/16,11,"12,0220778012","12,014537903","0,0075398982","0,1225981364"
29/06/16,11,"11,8648350626","11,9393869472","-0,0745518847","0,0820295183"
30/06/16,11,"11,7317835145","11,8698027289","-0,1380192144","0,0493101792"
01/07/16,10,"11,4653552815","11,7312988231","-0,2659435416","0,0142498655"
02/07/16,10,"11,2399160074","11,6030544658","-0,3631384584","-0,0311085617"
03/07/16,10,"11,0491596986","11,4843096906","-0,435149992","-0,0928819707"
04/07/16,10,"10,8877505142","11,3743608246","-0,4866103104","-0,16681215"
05/07/16,9,"10,5973273582","11,198482245","-0,6011548868","-0,2494243552"
06/07/16,9,"10,3515846877","11,0356317083","-0,6840470207","-0,3378972679"
07/07/16,9,"10,1436485819","10,8848441744","-0,7411955925","-0,4210901002"
08/07/16,10,"10,1215488","10,8193001615","-0,6977513614","-0,4903344865"
09/07/16,10,"10,1028489847","10,7586112606","-0,655762276","-0,5478614933"
10/07/16,9,"9,9331799101","10,6283437598","-0,6951638497","-0,5955526387"
11/07/16,9,"9,7896137701","10,5077257035","-0,7181119335","-0,6349941359"
12/07/16,9,"9,6681347285","10,3960423181","-0,7279075896","-0,6675227578"
13/07/16,9,"9,5653447703","10,292631776","-0,7272870057","-0,6942646129"
14/07/16,10,"9,6322148056","10,2709553482","-0,6387405425","-0,6984407968"
15/07/16,10,"9,6887971432","10,2508845816","-0,5620874384","-0,6848897321"
16/07/16,10,"9,7366745058","10,2323005386","-0,4956260327","-0,6576042255"
17/07/16,10,"9,7771861203","10,2150930913","-0,437906971","-0,6287326266"
18/07/16,10,"9,8114651787","10,1991602697","-0,387695091","-0,5989473838"
19/07/16,10,"9,8404705358","10,1844076571","-0,3439371213","-0,5599221917"
20/07/16,11,"10,0188596842","10,2448219047","-0,2259622206","-0,5052388903"
21/07/16,11,"10,1698043481","10,3007610229","-0,1309566748","-0,4389110109"
22/07/16,13,"10,6052190638","10,5007046508","0,104514413","-0,346488631"
23/07/16,13,"10,9736469001","10,6858376397","0,2878092605","-0,2435386529"
24/07/16,11,"10,9777012232","10,7091089256","0,2685922976","-0,1512409045"
25/07/16,12,"11,1349779581","10,8047304867","0,3302474714","-0,0594771818"
26/07/16,10,"10,9603659645","10,745120821","0,2152451435","0,0130952754"
27/07/16,11,"10,9664635085","10,7640007602","0,2024627483","0,0786683686"
28/07/16,11,"10,9716229687","10,7814821854","0,1901407833","0,138010358"
29/07/16,11,"10,9759886658","10,7976686901","0,1783199757","0,1829306021"
30/07/16,11,"10,9796827172","10,8126561946","0,1670265227","0,2160398462"
31/07/16,10,"10,8289622992","10,7524594394","0,0765028598","0,2129274514"
01/08/16,9,"10,5475834839","10,6226476291","-0,0750641452","0,1726081841"
02/08/16,7,"10,0018014095","10,3543033603","-0,3525019508","0,1035977121"
03/08/16,9,"9,8476781157","10,2539845928","-0,4063064771","0,0217583845"
04/08/16,10,"9,8711122518","10,2351709193","-0,3640586675","-0,0426087057"
05/08/16,9,"9,7370949823","10,1436767771","-0,4065817949","-0,1102803216"
06/08/16,9,"9,6236957542","10,0589599788","-0,4352642246","-0,1797697669"
07/08/16,9,"9,5277425613","9,9805184989","-0,4527759376","-0,249891535"
08/08/16,10,"9,6003975518","9,9819615731","-0,3815640212","-0,3108460399"
09/08/16,11,"9,8157210054","10,0573718269","-0,2416508215","-0,3461964489"
10/08/16,10,"9,84407162","10,053122062","-0,209050442","-0,3610838153"
11/08/16,10,"9,8680606015","10,0491870944","-0,1811264929","-0,3420420977"
12/08/16,10,"9,8883589705","10,0455436059","-0,1571846354","-0,3143618931"
13/08/16,10,"9,9055345135","10,0421700055","-0,136635492","-0,2890926514"
14/08/16,10,"9,9200676653","10,0390463014","-0,1189786361","-0,2571367448"
15/08/16,10,"9,9323649475","10,0361539828","-0,1037890352","-0,2203061682"
16/08/16,9,"9,7889241864","9,9594018359","-0,1704776495","-0,1889396918"
17/08/16,9,"9,6675512346","9,8883350332","-0,2207837986","-0,1710752226"
18/08/16,9,"9,5648510447","9,8225324382","-0,2576813935","-0,1728563973"
19/08/16,9,"9,477950884","9,7616041094","-0,2836532255","-0,1811455954"
20/08/16,9,"9,4044199787","9,7051889902","-0,3007690115","-0,1944392086"
21/08/16,9,"9,3422015205","9,6529527687","-0,3107512482","-0,2115021656"
22/08/16,9,"9,2895551327","9,604585897","-0,3150307642","-0,2313238625"
23/08/16,9,"9,2450081892","9,5598017564","-0,3147935672","-0,2530810771"
24/08/16,9,"9,2073146216","9,5183349597","-0,311020338","-0,2761067774"
25/08/16,10,"9,3292662183","9,5540138515","-0,2247476332","-0,2821367756"
26/08/16,10,"9,4324560309","9,5870498625","-0,1545938317","-0,2747823348"
27/08/16,9,"9,3659243338","9,5435646875","-0,1776403537","-0,2658888859"
28/08/16,9,"9,3096282825","9,5033006366","-0,1936723541","-0,2558910113"
29/08/16,9,"9,2619931621","9,466019108","-0,2040259459","-0,2451417818"
30/08/16,10,"9,3755326756","9,5055732481","-0,1300405725","-0,2250628178"
